Date;Volume;;;;
04/01/2016;2973100;;;;
05/01/2016;2437200;;;;
06/01/2016;2660900;;;;
07/01/2016;3602100;;;;
08/01/2016;3383900;;;;
11/01/2016;2066200;;;;
12/01/2016;1558700;;;;
13/01/2016;2201000;;;;
14/01/2016;2905700;;;;
15/01/2016;3513000;;;;
19/01/2016;3138500;;;;
20/01/2016;2733700;;;;
21/01/2016;2911700;;;;
22/01/2016;3925700;;;;
25/01/2016;1734100;;;;
26/01/2016;2464000;;;;
27/01/2016;2258800;;;;
28/01/2016;2834300;;;;
29/01/2016;3092700;;;;
01/02/2016;2031900;;;;
02/02/2016;2768300;;;;
03/02/2016;3264800;;;;
04/02/2016;3576400;;;;
05/02/2016;3513300;;;;
08/02/2016;4301900;;;;
09/02/2016;3741200;;;;
10/02/2016;4569700;;;;
11/02/2016;12055600;;;;
12/02/2016;5908800;;;;
16/02/2016;4035100;;;;
17/02/2016;3754100;;;;
18/02/2016;2549000;;;;
19/02/2016;1565500;;;;
22/02/2016;1574900;;;;
23/02/2016;1459100;;;;
24/02/2016;1580700;;;;
25/02/2016;2012700;;;;
26/02/2016;1675300;;;;
29/02/2016;1863000;;;;
01/03/2016;2194900;;;;
02/03/2016;1965800;;;;
03/03/2016;2668100;;;;
04/03/2016;1804800;;;;
07/03/2016;2230700;;;;
08/03/2016;2517400;;;;
09/03/2016;2938000;;;;
10/03/2016;2117300;;;;
11/03/2016;1738000;;;;
14/03/2016;1968900;;;;
15/03/2016;1373700;;;;
16/03/2016;2156200;;;;
17/03/2016;3533600;;;;
18/03/2016;3080300;;;;
21/03/2016;1351500;;;;
22/03/2016;3778200;;;;
23/03/2016;3595100;;;;
24/03/2016;2299500;;;;
28/03/2016;2414400;;;;
29/03/2016;2744000;;;;
30/03/2016;1802200;;;;
31/03/2016;4379700;;;;
01/04/2016;2371400;;;;
04/04/2016;5050500;;;;
05/04/2016;2774000;;;;
06/04/2016;3288500;;;;
07/04/2016;6609700;;;;
08/04/2016;3265200;;;;
11/04/2016;3430700;;;;
12/04/2016;3810600;;;;
13/04/2016;3760900;;;;
14/04/2016;3290400;;;;
15/04/2016;3108000;;;;
18/04/2016;3059700;;;;
19/04/2016;3196900;;;;
20/04/2016;2950300;;;;
21/04/2016;6072500;;;;
22/04/2016;9867500;;;;
25/04/2016;5067300;;;;
26/04/2016;4171800;;;;
27/04/2016;2274600;;;;
28/04/2016;2333600;;;;
29/04/2016;2533800;;;;
02/05/2016;2640200;;;;
03/05/2016;3055800;;;;
04/05/2016;2512400;;;;
05/05/2016;3481500;;;;
06/05/2016;2455400;;;;
09/05/2016;1838400;;;;
10/05/2016;1595500;;;;
11/05/2016;2505600;;;;
12/05/2016;1876500;;;;
13/05/2016;2155500;;;;
16/05/2016;1841600;;;;
17/05/2016;3216800;;;;
18/05/2016;3713000;;;;
19/05/2016;1826100;;;;
20/05/2016;2407200;;;;
23/05/2016;1583600;;;;
24/05/2016;2178000;;;;
25/05/2016;1388100;;;;
26/05/2016;2236500;;;;
27/05/2016;1705300;;;;
31/05/2016;2387900;;;;
01/06/2016;2108200;;;;
02/06/2016;2350900;;;;
03/06/2016;1889000;;;;
06/06/2016;2260700;;;;
07/06/2016;5632200;;;;
08/06/2016;4006800;;;;
09/06/2016;3048900;;;;
10/06/2016;2247100;;;;
13/06/2016;1697700;;;;
14/06/2016;2016200;;;;
15/06/2016;1700000;;;;
16/06/2016;1417500;;;;
17/06/2016;1700500;;;;
20/06/2016;1733600;;;;
21/06/2016;1224500;;;;
22/06/2016;1645900;;;;
23/06/2016;2223800;;;;
24/06/2016;3648700;;;;
27/06/2016;2700400;;;;
28/06/2016;2236600;;;;
29/06/2016;3492800;;;;
30/06/2016;2777700;;;;
01/07/2016;2025800;;;;
05/07/2016;1823000;;;;
06/07/2016;2598000;;;;
07/07/2016;1674200;;;;
08/07/2016;1802700;;;;
11/07/2016;1781800;;;;
12/07/2016;3680200;;;;
13/07/2016;2073400;;;;
14/07/2016;2522500;;;;
15/07/2016;2694400;;;;
18/07/2016;2314900;;;;
19/07/2016;1890600;;;;
20/07/2016;1926400;;;;
21/07/2016;3722300;;;;
22/07/2016;32840600;;;;
25/07/2016;9285000;;;;
26/07/2016;4185100;;;;
27/07/2016;3578800;;;;
28/07/2016;3004400;;;;
29/07/2016;3488700;;;;
01/08/2016;3298100;;;;
02/08/2016;3796500;;;;
03/08/2016;2953500;;;;
04/08/2016;2640400;;;;
05/08/2016;2218900;;;;
08/08/2016;1942500;;;;
09/08/2016;2107200;;;;
10/08/2016;2018300;;;;
11/08/2016;4948400;;;;
12/08/2016;4410900;;;;
15/08/2016;4118700;;;;
16/08/2016;4569900;;;;
17/08/2016;2066400;;;;
18/08/2016;3264200;;;;
19/08/2016;2218300;;;;
22/08/2016;2112600;;;;
23/08/2016;2447000;;;;
24/08/2016;1603800;;;;
25/08/2016;1816600;;;;
26/08/2016;1354200;;;;
29/08/2016;980300;;;;
30/08/2016;1530200;;;;
31/08/2016;1984200;;;;
01/09/2016;2052300;;;;
02/09/2016;1293000;;;;
06/09/2016;1614100;;;;
07/09/2016;2383800;;;;
08/09/2016;1803400;;;;
09/09/2016;1904700;;;;
12/09/2016;2306200;;;;
13/09/2016;3374600;;;;
14/09/2016;2560300;;;;
15/09/2016;3294800;;;;
16/09/2016;3539600;;;;
19/09/2016;2530900;;;;
20/09/2016;2423700;;;;
